BH.loc,easting,northing,aq.resist,aq.thick,anisotrophy,bh.yield
1,812.450,733.340,105,10.49,0.25,1.2
2,796.868,744.129,130,8.8,0.1,1.12
3,800.301,741.145,115,12.42,0.11,1.14
4,814.326,740.086,115,4.58,0.01,0.2
5,807.079,747.427,145,6.85,0.08,1.2
6,793.129,739.270,120,4.58,0.01,0.2
7,806.085,737.591,128,5,0.12,0.9
8,803.218,739.455,140,4.75,0.06,0.8
9,819.920,726.332,125,4.75,0.04,0.8
10,806.377,737.676,105,12.25,0.13,1.2
11,793.126,739.258,85,9.5,0.37,1.1
12,795.941,785.935,140,13.54,0.22,1.24
13,809.576,807.360,115,10.42,0.1,1.1
14,827.590,802.671,100,4.65,0.14,0.59
15,826.342,802.678,110,9.88,0.08,0.7
16,801.783,743.350,75,6.21,0.51,1.14
17,801.798,743.271,125,8.6,0.06,0.8
18,803.232,761.824,128,7.06,0.2,1.21
19,799.246,758.367,122,7.96,0.07,0.8
20,850.119,820.582,135,7.89,0.13,1.23
21,819.602,822.630,136,9.7,0.11,1.23
22,802.716,741.710,225,13.9,0.78,5.9
23,738.805,664.528,135,12.65,0.44,2.64
24,748.867,678.543,65,10,0.84,1.39
25,748.148,683.394,125,12.65,0.31,1.8
26,749.226,686.809,65,12.07,0.49,1.24
27,754.617,683.934,95,9.8,0.38,1.39
28,744.555,709.448,170,13.54,0.59,3.89
29,767.913,718.432,105,9.82,0.22,1.08
30,774.022,716.635,168,13.54,0.6,3.89
31,774.740,720.588,125,12.42,0.42,2.28
32,780.850,717.713,156,12.73,0.39,2.9
33,785.521,716.276,132,12.22,0.11,1.29
34,790.912,720.589,75,12.25,0.42,1.4
35,788.755,710.885,148,12.32,0.42,2.4
36,790.912,713.042,122,8.75,0.06,0.8
37,796.302,711.604,106,12,0.32,1.26
38,773.662,741.790,380,17.5,1.43,11.8
39,773.303,746.102,118,11.88,0.3,1.8
40,775.819,747.180,148,13.13,0.45,3
41,790.436,746.927,240,13.56,0.65,5.1
42,791.573,751.746,320,15.44,1.23,7.6
43,794.188,749.472,152,13.22,0.49,3.3
44,791.118,747.312,131,7.28,0.13,1.07
45,793.392,743.446,115,11.7,0.31,1.8
46,794.643,741.512,120,11.7,0.28,1.72
47,796.917,745.834,112,11.6,0.25,1.47
48,797.030,741.058,121,10.9,0.28,1.72
49,796.979,745.692,110,11.84,0.27,1.53
50,801.620,743.066,109,8,0.1,0.7
51,801.728,743.318,116,10.2,0.18,1.23
52,802.628,741.735,105,5.77,0.18,0.9
53,803.203,739.504,135,13.9,0.46,2.7
54,804.067,736.482,100,4.58,0.08,0.2
